date,ticker,open,high,low,close,volume,ma20,ma50,returns_1d,volatility_20d
2025-08-05,ANTM,2730.238177448714,2842.0568058766476,2711.6017393773914,2739.556396484375,151094800.0,2739.556396484375,2739.556396484375,,
2025-08-06,ANTM,2767.511064801897,2888.647912756189,2767.511064801897,2870.011474609375,192180500.0,2804.783935546875,2804.783935546875,0.047619051862706874,
2025-08-07,ANTM,2888.647918216766,3028.421204582093,2860.6932609437004,2935.239013671875,222004300.0,2848.2689615885415,2848.2689615885415,0.022727274660592656,0.2794095061146656
2025-08-08,ANTM,2944.557121005259,2953.8753397426176,2814.102058682241,2879.32958984375,102084600.0,2856.0341186523438,2856.0341186523438,-0.019047656278656677,0.5347767822838878
2025-08-11,ANTM,2851.3750249123086,2860.6932439479697,2730.238177448714,2739.556396484375,141894900.0,2832.73857421875,2832.73857421875,-0.048543658861561534,0.6797988466074882
2025-08-12,ANTM,2739.556322400323,2748.8745411839977,2674.328790914601,2702.283447265625,111654300.0,2810.996053059896,2810.996053059896,-0.013605468851300762,0.5974050740431273
2025-08-13,ANTM,2730.23799935567,2758.192654639175,2683.6469072164946,2711.6015625,112931000.0,2796.7968401227677,2796.7968401227677,0.003448237542883925,0.535574471089514
2025-08-14,ANTM,2720.91998945718,2739.556427741133,2692.96533203125,2692.96533203125,109598600.0,2783.817901611328,2783.817901611328,-0.006872776121123025,0.49007970186764377
2025-08-15,ANTM,2702.283447265625,2720.9198848329743,2665.010572130927,2702.283447265625,59231900.0,2774.7585177951387,2774.7585177951387,0.0034601690276296893,0.45477427466324705
2025-08-19,ANTM,2702.283401217749,2711.601619842638,2618.41943359375,2618.41943359375,111569000.0,2759.124609375,2759.124609375,-0.03103449927013946,0.4534719956789499
2025-08-20,ANTM,2618.4196098220177,2646.374267578125,2599.7831713179467,2646.374267578125,67288600.0,2748.874578302557,2748.874578302557,0.01067622460547013,0.43440483619113723
2025-08-21,ANTM,2665.0105644738296,2683.6470019876324,2618.419470689322,2637.055908203125,66397100.0,2739.556355794271,2739.556355794271,-0.003521179709598643,0.41211714627194657
2025-08-22,ANTM,2646.374231216755,2674.328888588763,2627.73779296875,2627.73779296875,29415000.0,2730.9549278846152,2730.9549278846152,-0.0035335296477366773,0.3929421298942432
