ticker
AALI
ABBA
ABDA
ABMM
ACES
ACST
ADCP
ADES
ADHI
ADMF
ADMG
ADMR
ADRO
AGAR
AGII
AGRO
AGRS
AHAP
AIMS
AIRA
AISA
AKKU
AKPI
AKRA
AKSI
ALDO
ALKA
ALMI
ALTO
AMAG
AMAN
AMAR
AMFG
AMIN
AMOR
AMRT
ANDI
ANJT
ANTM
APEX
APII
APLI
APLN
ARCI
ARII
ARNA
ARTA
ARTI
ASBI
ASDM
ASGR
ASII
ASJT
ASMI
ASPI
ASRI
ASRM
ASSA
ATAP
ATIC
AUTO
AVIA
AYLS
BABP
BACA
BAEK
BALI
BAPA
BAPI
BATA
BAYU
BBCA
BBHI
BBKP
BBLD
BBMD
BBNI
BBRI
BBRM
BBSS
BBTN
BBYB
BCAP
BCIC
BCIP
BDKR
BDMN
BECN
BEKS
BELL
BESS
BEST
BFIN
BGTG
BHIT
BIKA
BIMA
BIMP
BINA
BIPP
BIRD
BISI
BJBR
BJTM
BKDP
BKSL
BLTA
BLTZ
BLUE
BMAS
BMRI
BMSR
BMTR
BNBA
BNBR
BNGA
BNII
BNLI
BOGA
BOLA
BOLT
BORN
BOSS
BPFI
BPII
BRAM
BRIS
BRMS
BRNA
BRPT
BSDE
BSIM
BSSR
BSWD
BTEK
BTEL
BTON
BTPN
BUDI
BUKA
BUKK
BULL
BUMI
BUVA
BVIC
BWPT
BYAN
CAKK
CAMP
CANI
CARS
CASA
CASH
CASS
CATS
CCSI
CEKA
CENT
CFIN
CINT
CITA
CITY
CLAY
CLEO
CLPI
CMNP
CMNT
CMPP
CNMA
CNTX
COCO
COWL
CPIN
CPRI
CPRO
CSAP
CSIS
CTBN
CTRA
CTTH
DADA
DAMF
DART
DAYA
DEAL
DEWI
DFAM
DGIK
DGNS
DILD
DIVA
DKFT
DLTA
DMAS
DMMX
DMND
DOID
DPNS
DRMA
DSFI
DSNG
DSSA
DUCK
DUTI
DVLA
DWGL
DYAN
ECII
EDGE
EKAD
ELSA
EMDE
EMTK
ENRG
ENVY
EPAC
EPMT
ERAA
ERTX
ESSA
ESTA
ESTI
ETWA
EXCL
FAPA
FAST
FASW
FILM
FINN
FIRE
FISH
FMII
FOOD
FORU
FORZ
FPNI
FREN
FUJI
GAMA
GDST
GDYR
GEMA
GEMS
GGRM
GHON
GIAA
GJTL
GLVA
GMFI
GOLD
GOLL
GOOD
GOTO
GPRA
GSMF
GTBO
GTSI
GULA
GWNG
GZCO
HADE
HAIS
HDFA
HDIT
HEAL
HELI
HERO
HEXA
HILL
HITS
HKMU
HMSP
HOMI
HOPE
HRUM
HRTA
HRUM
IATA
IBFN
IBST
ICBP
ICON
IDEA
IDPR
IFII
IFSH
IGAR
IIKP
IKAI
IKAN
IKBI
IMAS
IMJS
IMPC
INAF
INAI
INCF
INDF
INDO
INDR
INDS
INDX
INKP
INPC
INPP
INTA
INTD
INTP
IPCC
IPCM
IPOL
ISAT
ISSP
ITMA
ITMG
JARR
JAST
JAWA
JAYA
JECC
JGLE
JIHD
JKON
JMAS
JPFA
JRPT
JSMR
JSPT
JTPE
KARW
KAYU
KBAG
KBLI
KBLM
KBLV
KBRI
KDSI
KEEN
KELY
KGUL
KICI
KIJA
KING
KINO
KIOS
KJEN
KKGI
KLBF
KMDS
KMTR
KOBX
KOIN
KONI
KOPI
KPAL
KPAS
KPII
KRAH
KRAS
KREN
KUAS
LABA
LAND
LAPD
LCGP
LEAD
LIFE
LINK
LION
LMAS
LMPI
LMSH
LPCK
LPGI
LPIN
LPLI
LPPF
LPPS
LRNA
LSIP
LTLS
LUCK
MABA
MAGP
MAIN
MAMI
MAPA
MAPB
MAPI
MARI
MARK
MASA
MAYA
MBAP
MBSS
MBTO
MCAS
MCOL
MDIA
MDLN
MDRN
MEDC
MEGA
MERK
META
MFIN
MGLV
MGNA
MICE
MINA
MIRA
MITI
MKNT
MKPI
MLBI
MLIA
MLPL
MLPT
MMLP
MNCN
MPOW
MPPA
MPXL
MRAT
MREI
MSIN
MSKY
MTDL
MTFN
MTLA
MTMH
MTPS
MTSM
MYOH
MYOR
MYTX
NANO
NASA
NELY
NFCX
NICL
NIKL
NIPS
NIRO
NISP
NOBU
NPGF
NRCA
NTBK
NUSA
NZIA
OBMD
OCAP
OILS
OMRE
ONIC
OPMS
PADI
PALM
PANI
PANR
PANS
PBID
PBSA
PCAR
PDES
PEHA
PEVE
PGAS
PGEO
PGJO
PGLI
PGUN
