ticker
AIRA
BAEK
BECN
BIMP
BORN
BTEL
CATS
COWL
CPRI
DAMF
DUCK
ENVY
FINN
FORZ
FREN
GAMA
GOLL
GWNG
HKMU
IIKP
KBRI
KELY
KGUL
KPAL
KPAS
KPII
KRAH
LCGP
LMAS
MABA
MAGP
MAMI
MASA
MFIN
NIPS
NUSA
OCAP
ONIC
PLAS
POOL
POSA
PRAS
PURE
RIMO
RMBA
SIMA
SRIL
SUGI
TECH
TRAM
TRIL
TURI
VIDI
WISE
